dimension,dim_label,comparison,feature,coefficient,direction,rank
dim_TF,T/F,Thinking vs Feeling,female,-2.753065,negative,4
dim_TF,T/F,Thinking vs Feeling,nt,-2.370354,negative,5
dim_TF,T/F,Thinking vs Feeling,ti,-2.329258,negative,6
dim_TF,T/F,Thinking vs Feeling,boring,-2.217535,negative,7
dim_TF,T/F,Thinking vs Feeling,fucking,-2.153925,negative,8
dim_TF,T/F,Thinking vs Feeling,stupid,-2.110989,negative,9
dim_TF,T/F,Thinking vs Feeling,shit,-2.093168,negative,10
dim_TF,T/F,Thinking vs Feeling,knowledge,-1.992983,negative,11
dim_TF,T/F,Thinking vs Feeling,forum,-1.915172,negative,12
dim_TF,T/F,Thinking vs Feeling,entjs,-1.900282,negative,13
dim_TF,T/F,Thinking vs Feeling,computer,-1.870658,negative,14
dim_TF,T/F,Thinking vs Feeling,bored,-1.802625,negative,15
dim_JP,J/P,Judging vs Perceiving,infps,5.964884,positive,1
dim_JP,J/P,Judging vs Perceiving,intps,5.292821,positive,2
dim_JP,J/P,Judging vs Perceiving,ne,4.04698,positive,3
dim_JP,J/P,Judging vs Perceiving,entps,3.865243,positive,4
dim_JP,J/P,Judging vs Perceiving,istps,3.271648,positive,5
dim_JP,J/P,Judging vs Perceiving,enfps,2.433965,positive,6
dim_JP,J/P,Judging vs Perceiving,love,1.861055,positive,7
dim_JP,J/P,Judging vs Perceiving,pretty,1.759668,positive,8
dim_JP,J/P,Judging vs Perceiving,fi,1.759233,positive,9
dim_JP,J/P,Judging vs Perceiving,fun,1.683556,positive,10
dim_JP,J/P,Judging vs Perceiving,isfps,1.661584,positive,11
dim_JP,J/P,Judging vs Perceiving,fuck,1.639853,positive,12
dim_JP,J/P,Judging vs Perceiving,lazy,1.634015,positive,13
dim_JP,J/P,Judging vs Perceiving,theories,1.596411,positive,14
dim_JP,J/P,Judging vs Perceiving,really,1.56773,positive,15
dim_JP,J/P,Judging vs Perceiving,infjs,-7.706557,negative,1
dim_JP,J/P,Judging vs Perceiving,intjs,-6.604902,negative,2
dim_JP,J/P,Judging vs Perceiving,ni,-6.129428,negative,3
dim_JP,J/P,Judging vs Perceiving,plan,-2.33306,negative,4
dim_JP,J/P,Judging vs Perceiving,isfjs,-2.306328,negative,5
dim_JP,J/P,Judging vs Perceiving,cold,-2.082581,negative,6
dim_JP,J/P,Judging vs Perceiving,fe,-1.920944,negative,7
dim_JP,J/P,Judging vs Perceiving,help,-1.917488,negative,8
dim_JP,J/P,Judging vs Perceiving,dear,-1.818798,negative,9
dim_JP,J/P,Judging vs Perceiving,entjs,-1.764394,negative,10
dim_JP,J/P,Judging vs Perceiving,istjs,-1.709157,negative,11
dim_JP,J/P,Judging vs Perceiving,rave,-1.596408,negative,12
dim_JP,J/P,Judging vs Perceiving,intuition,-1.557574,negative,13
dim_JP,J/P,Judging vs Perceiving,rant,-1.43964,negative,14
dim_JP,J/P,Judging vs Perceiving,plans,-1.420729,negative,15
